,City,Studio Avg Rental Rate,One Bed Avg Rental Rate,Two Bed Avg Rental Rate,Three Bed Avg Rental Rate,Four Bed Avg Rental Rate
0,Denton,2154,1405,2367,2759,4035
1,Abilene,1478,1233,1825,2215,3598
2,Waco,1503,1798,2264,3136,4523
3,Fort Worth,1604,1517,2195,2896,3575
4,Round Rock,1248,1952,2806,2725,3130
5,Irving,1423,1405,1520,2367,3439
6,Austin,1682,1788,2293,3346,4669
7,San Marcos,1543,1570,2233,2575,4653
8,College Station,2207,1561,1820,2998,3675
9,South Padre Island,1512,1823,2538,4031,5164
10,Bryan,1206,1641,1948,2900,3932
11,Lubbock,1201,1245,1665,1926,2715
12,Richardson,404,1304,1548,2377,3305
13,San Antonio,899,1011,1226,1661,2556
14,Carrollton,1385,693,1466,2436,3192
15,El Paso,661,607,742,1193,1812
16,Houston,825,833,1071,1708,2650
17,Dallas,1025,1013,1455,2258,3293
18,Fredericksburg,1743,1736,1803,2808,3687
19,Galveston,1314,1120,1392,1802,2555
